Gene ID	source_id	Gene Name or Symbol	sense - male gametocyte - unique only	sense - female gametocyte - unique only	sense - male gametocyte	sense - female gametocyte
PF3D7_1014000	PF3D7_1014000.1	FS	0.27	7.59	0.27	7.59
PF3D7_1014100	PF3D7_1014100.1	MSA180	4.06	2.88	4.06	2.88
PF3D7_1014200	PF3D7_1014200.1	HAP2	96.72	1.14	96.72	1.14
PF3D7_1014300	PF3D7_1014300.1	N/A	728.81	139.25	728.88	139.29
PF3D7_1014400	PF3D7_1014400.1	MRK	3.24	3.62	3.24	3.68
PF3D7_1014500	PF3D7_1014500.1	N/A	12.77	3.26	12.77	3.29
PF3D7_1014600	PF3D7_1014600.1	ADA2	123.81	63.55	123.81	63.55
PF3D7_1014700	PF3D7_1014700.1	PHB2	16.53	59.92	16.53	59.92
PF3D7_1014800	PF3D7_1014800.1	N/A	334.6	6.33	334.6	6.33
PF3D7_1014900	PF3D7_1014900.1	KIC8	12.04	357.97	12.04	357.97
PF3D7_1015000	PF3D7_1015000.1	N/A	11.16	14.64	11.16	14.64
PF3D7_1015100	PF3D7_1015100.1	N/A	20.15	42.79	20.15	42.79
PF3D7_1015200	PF3D7_1015200.1	CysRS	13.96	13.82	13.96	13.82
PF3D7_1015200	PF3D7_1015200.2	CysRS	13.96	13.82	13.96	13.82
PF3D7_1015200	PF3D7_1015200.3	CysRS	13.96	13.82	13.96	13.82
PF3D7_1015300	PF3D7_1015300.1	METAP1b	12.2	8.79	12.2	8.79
PF3D7_1015400	PF3D7_1015400.1	N/A	4.06	10.95	4.06	10.95
PF3D7_1015500	PF3D7_1015500.1	N/A	2.45	2.07	2.45	2.07
PF3D7_1015600	PF3D7_1015600.1	HSP60	67.1	86.13	67.88	86.13
PF3D7_1015700	PF3D7_1015700.1	N/A	22.6	14.2	24.94	14.2
PF3D7_1015700	PF3D7_1015700.2	N/A	22.6	14.2	24.94	14.2
PF3D7_1015800	PF3D7_1015800.1	N/A	206.75	49.49	206.75	49.49
PF3D7_1015900	PF3D7_1015900.1	ENO	527.29	29.65	527.29	29.65
PF3D7_1016000	PF3D7_1016000.1	N/A	6.51	63.92	6.51	63.92
PF3D7_1016100	PF3D7_1016100.1	N/A	93.04	0.41	93.04	0.41
PF3D7_1016200	PF3D7_1016200.1	N/A	34.01	8.26	34.01	8.26
PF3D7_1016300	PF3D7_1016300.1	GBP130	449.39	7.23	568.34	8.91
PF3D7_1016400	PF3D7_1016400.1	FIKK10.1	15.98	1.74	16.36	1.74
PF3D7_1016500	PF3D7_1016500.1	N/A	12.58	3.6	12.58	3.6
PF3D7_1016600	PF3D7_1016600.1	N/A	14.91	22.34	14.91	22.34
PF3D7_1016700	PF3D7_1016700.1	N/A	13.71	7.4	13.71	7.4
PF3D7_1016800	PF3D7_1016800.1	N/A	57.59	22.25	57.59	22.25
PF3D7_1016900	PF3D7_1016900.1	ETRAMP10.3	267.97	209.15	267.97	209.15
PF3D7_1017000	PF3D7_1017000.1	N/A	358.19	16.64	358.19	16.64
PF3D7_1017100	PF3D7_1017100.1	RON12	19.8	0.77	19.8	0.77
PF3D7_1017200	PF3D7_1017200.1	N/A	2.58	0	2.58	0
PF3D7_1017300	PF3D7_1017300.1	GRASP	65.38	787.84	65.38	787.84
PF3D7_1017300	PF3D7_1017300.2	GRASP	65.38	787.84	65.38	787.84
PF3D7_1017400	PF3D7_1017400.1	HAD5	51.87	308.36	51.87	309.94
PF3D7_1017500	PF3D7_1017500.1	ELC	34.99	94.38	34.99	94.38
PF3D7_1017600	PF3D7_1017600.1	N/A	316.32	262.08	317.11	262.08
PF3D7_1017700	PF3D7_1017700.1	N/A	27.47	89.58	27.47	89.58
PF3D7_1017800	PF3D7_1017800.1	N/A	5.85	11.48	5.85	11.48
PF3D7_1017900	PF3D7_1017900.1	RPN5	26.05	48.36	26.05	48.36
PF3D7_1018000	PF3D7_1018000.1	N/A	7.43	13.28	7.43	13.28
PF3D7_1018100	PF3D7_1018100.1	N/A	440.47	42.8	440.47	42.8
PF3D7_1018200	PF3D7_1018200.1	PPP8	7.75	184.96	7.75	185.53
PF3D7_1018300	PF3D7_1018300.1	N/A	27.22	26.47	29.79	30.24
PF3D7_1018400	PF3D7_1018400.1	N/A	62.53	653.5	62.53	654.29
PF3D7_1018500	PF3D7_1018500.1	RDS3	61.04	703.03	61.04	703.03
PF3D7_1018600	PF3D7_1018600.1	N/A	36.95	35.18	36.95	35.18
PF3D7_1018700	PF3D7_1018700.1	N/A	98.43	28.19	98.48	28.19
PF3D7_1018800	PF3D7_1018800.1	N/A	4.52	29.22	4.58	29.22
PF3D7_1018900	PF3D7_1018900.1	N/A	5.49	36.9	5.49	36.9
PF3D7_1019000	PF3D7_1019000.1	N/A	54.48	31.32	54.48	31.32
PF3D7_1019100	PF3D7_1019100.1	N/A	67.27	708.19	68.77	715.35
PF3D7_1019200	PF3D7_1019200.1	N/A	3.34	66.37	3.34	66.37
PF3D7_1019300	PF3D7_1019300.1	N/A	43.1	76.98	43.1	76.98
PF3D7_1019400	PF3D7_1019400.1	N/A	65.43	46.29	65.43	46.29
PF3D7_1019500	PF3D7_1019500.1	N/A	161.57	76.49	163.13	76.76
PF3D7_1019500	PF3D7_1019500.2	N/A	161.57	76.49	163.13	76.76
PF3D7_1019600	PF3D7_1019600.1	N/A	39.72	111.75	39.72	112
PF3D7_1019700	PF3D7_1019700.1	N/A	199.14	339.55	228.18	396.72
PF3D7_1019800	PF3D7_1019800.1	MNMA	91.44	14.16	91.44	14.16
PF3D7_1019900	PF3D7_1019900.1	ATG8	3.09	27.29	3.09	27.29
PF3D7_1020000	PF3D7_1020000.1	RBM34	1228.09	220.25	1253.43	223.83
PF3D7_1020100	PF3D7_1020100.1	N/A	325.56	144.48	326.84	144.48
PF3D7_1020200	PF3D7_1020200.1	N/A	391.52	6175.28	391.52	6176.68
PF3D7_1020300	PF3D7_1020300.1	N/A	11.25	192.95	11.25	192.95
PF3D7_1020400	PF3D7_1020400.1	RCM1	5.89	23.6	5.89	23.6
PF3D7_1020500	PF3D7_1020500.1	N/A	2.46	25.25	2.46	25.25
PF3D7_1020600	PF3D7_1020600.1	N/A	209.56	21.49	209.68	21.49
PF3D7_1020700	PF3D7_1020700.1	N/A	14.99	21.05	14.99	21.05
PF3D7_1020800	PF3D7_1020800.1	DLAT	12.18	75.37	12.18	75.37
PF3D7_1020900	PF3D7_1020900.1	ARF1	32.87	93.87	32.87	94.21
PF3D7_1021000	PF3D7_1021000.1	N/A	6.26	80.3	6.26	80.3
PF3D7_1021100	PF3D7_1021100.1	N/A	13.89	3.97	13.89	3.97
PF3D7_1021200	PF3D7_1021200.1	N/A	714.78	99.01	714.78	99.01
PF3D7_1021300	PF3D7_1021300.1	N/A	2.12	6.38	2.12	6.38
PF3D7_1021400	PF3D7_1021400.1	N/A	16.17	17.21	16.17	17.27
PF3D7_1021500	PF3D7_1021500.1	ROK1	8.67	77.42	8.67	77.42
PF3D7_1021600	PF3D7_1021600.1	DPA	11.42	83.12	11.42	83.12
PF3D7_1021700	PF3D7_1021700.1	N/A	102.62	34.1	102.63	34.1
PF3D7_1021800	PF3D7_1021800.1	SEA1	183.77	74.22	185.22	75.01
PF3D7_1021900	PF3D7_1021900.1	N/A	276.89	369.11	284.64	381.27
PF3D7_1022000	PF3D7_1022000.1	N/A	10.05	19.25	10.05	19.25
PF3D7_1022100	PF3D7_1022100.1	N/A	22.6	20.24	22.6	20.24
PF3D7_1022200	PF3D7_1022200.1	N/A	24.1	6.37	24.1	6.37
PF3D7_1022300	PF3D7_1022300.1	ZIPCO	40.59	8.92	40.59	8.92
PF3D7_1022400	PF3D7_1022400.1	SRSF4	81.36	160.91	81.36	160.91
PF3D7_1022500	PF3D7_1022500.1	CS	0.73	23.61	0.73	23.61
PF3D7_1022600	PF3D7_1022600.1	Kelch10	20.24	17.55	20.24	17.55
PF3D7_1022700	PF3D7_1022700.1	PLSCR	26.96	21.19	26.96	21.19
PF3D7_1022800	PF3D7_1022800.1	ISPG	20.57	0.68	20.57	0.68
PF3D7_1022900	PF3D7_1022900.1	ApiCOX13	45.9	88.74	46.37	90.66
PF3D7_1023000	PF3D7_1023000.1	N/A	25.84	21.18	25.84	21.18
PF3D7_1023100	PF3D7_1023100.1	N/A	358.95	8.02	358.95	8.02
PF3D7_1023200	PF3D7_1023200.1	OMPDC	201.45	10.78	201.45	10.78
PF3D7_1023300	PF3D7_1023300.1	N/A	128.03	341.02	128.48	341.82
PF3D7_1023400	PF3D7_1023400.1	N/A	42.57	33.48	42.57	33.48
PF3D7_1023500	PF3D7_1023500.1	N/A	1486.47	67.96	1606.71	76.02
PF3D7_1023600	PF3D7_1023600.1	N/A	3156.52	157.9	3185.42	159.57
PF3D7_1023700	PF3D7_1023700.1	N/A	373.08	4.93	373.08	4.93
PF3D7_1023800	PF3D7_1023800.1	N/A	22.78	3.57	22.78	3.57
PF3D7_1023900	PF3D7_1023900.1	CHD1	575.01	126.36	575.01	126.36
PF3D7_1024000	PF3D7_1024000.1	N/A	7.86	21.37	7.86	21.37
PF3D7_1024100	PF3D7_1024100.1	N/A	36.18	70.62	36.36	70.74
PF3D7_1024200	PF3D7_1024200.1	N/A	48.49	48.05	48.49	48.19
PF3D7_1024300	PF3D7_1024300.1	ATPTG10	25.88	166.45	25.88	166.45
PF3D7_1024400	PF3D7_1024400.1	N/A	329.33	29.27	329.33	29.27
PF3D7_1024500	PF3D7_1024500.1	N/A	46.28	21.19	46.28	21.19
PF3D7_1024600	PF3D7_1024600.1	N/A	11.99	28.9	11.99	30.02
PF3D7_1024700	PF3D7_1024700.1	N/A	5.64	45.37	5.64	45.37
PF3D7_1024800	PF3D7_1024800.1	EXP3	2065.3	619.42	2279.31	693.7
PF3D7_1024900	PF3D7_1024900.1	N/A	6.33	1.06	6.33	1.06
PF3D7_1025000	PF3D7_1025000.1	EPS15	143.3	195.72	144.45	195.89
PF3D7_1025100	PF3D7_1025100.1	GFPT	42.26	60.34	42.26	60.34
PF3D7_1025200	PF3D7_1025200.1	ATP12	6.93	26.27	7.27	28.22
PF3D7_1025300	PF3D7_1025300.1	N/A	4.53	2.24	4.53	2.24
PF3D7_1025400	PF3D7_1025400.1	N/A	43.6	42.52	43.88	43.07
PF3D7_1025500	PF3D7_1025500.1	N/A	416.86	24.77	416.99	24.77
PF3D7_1025600	PF3D7_1025600.1	COX17	168.27	123.85	168.27	123.85
PF3D7_1025700	PF3D7_1025700.1	N/A	62.02	24.85	62.02	24.85
PF3D7_1025800	PF3D7_1025800.1	C4AP2	28.63	126.96	29.56	131.89
PF3D7_1025900	PF3D7_1025900.1	N/A	142.29	216.63	142.82	217.86
PF3D7_1026000	PF3D7_1026000.1	N/A	249.62	143.22	249.62	143.22
PF3D7_1026100	PF3D7_1026100.1	N/A	106.14	857.06	106.72	860.85
PF3D7_1026200	PF3D7_1026200.1	N/A	9.87	7.39	9.87	7.39
PF3D7_1026300	PF3D7_1026300.1	N/A	50.95	31.95	50.95	31.95
PF3D7_1026400	PF3D7_1026400.1	CDC20	389.18	35.79	389.18	35.86
PF3D7_1026500	PF3D7_1026500.1	N/A	0.38	64.15	0.38	64.42
PF3D7_1026600	PF3D7_1026600.1	N/A	8.75	154.79	9.18	160.86
PF3D7_1026800	PF3D7_1026800.1	RPS2	123.54	290.32	123.54	290.32
PF3D7_1026900	PF3D7_1026900.1	HCS1	5.1	35.09	5.1	35.09
PF3D7_1027000	PF3D7_1027000.1	N/A	5	54.03	5	54.03
PF3D7_1027100	PF3D7_1027100.1	MPP10	44.71	53.51	44.71	53.51
PF3D7_1027200	PF3D7_1027200.1	RSM22	5.44	26	5.44	26
PF3D7_1027300	PF3D7_1027300.1	nPrx	111.48	1667.71	111.57	1667.75
PF3D7_1027400	PF3D7_1027400.1	RPB7	20.56	122.84	20.56	122.84
PF3D7_1027500	PF3D7_1027500.1	N/A	8.39	2.19	8.39	2.19
PF3D7_1027600	PF3D7_1027600.1	SPO11-2	38.96	143.64	40.73	144.45
PF3D7_1027700	PF3D7_1027700.1	CEN3	151.5	91.43	154.43	92.8
PF3D7_1027700	PF3D7_1027700.2	CEN3	151.5	91.43	154.43	92.8
PF3D7_1027800	PF3D7_1027800.1	RPL3	211.93	219.59	211.93	219.59
PF3D7_1027900	PF3D7_1027900.1	DHHC10	63.96	2577.23	64.7	2626.3
PF3D7_1028000	PF3D7_1028000.1	N/A	24.2	37.7	24.2	37.7
PF3D7_1028100	PF3D7_1028100.1	PPO	7.48	7.17	7.48	7.17
PF3D7_1028200	PF3D7_1028200.1	N/A	53.82	76.38	53.82	76.38
PF3D7_1028300	PF3D7_1028300.1	EBP2	48.35	72.56	48.35	72.56
PF3D7_1028400	PF3D7_1028400.1	N/A	23.7	41.86	24.66	42.38
PF3D7_1028500	PF3D7_1028500.1	N/A	64.36	104.16	64.39	104.16
PF3D7_1028600	PF3D7_1028600.1	N/A	338.81	313.52	338.91	313.52
PF3D7_1028700	PF3D7_1028700.1	MTRAP	85.36	98.88	85.36	98.88
PF3D7_1028800	PF3D7_1028800.1	N/A	12.82	27.76	12.82	27.76
PF3D7_1028900	PF3D7_1028900.1	IMC1m	41.39	58.54	41.39	58.54
PF3D7_1029000	PF3D7_1029000.1	N/A	4.81	0.15	4.81	0.15
PF3D7_1029100	PF3D7_1029100.1	N/A	16.55	0.95	16.55	0.95
PF3D7_1029100	PF3D7_1029100.2	N/A	16.55	0.95	16.55	0.95
PF3D7_1029200	PF3D7_1029200.1	N/A	10.34	15.94	10.34	15.94
PF3D7_1029300	PF3D7_1029300.1	N/A	8.89	13.85	8.89	13.85
PF3D7_1029400	PF3D7_1029400.1	CDC50C	21.97	35.2	21.97	35.2
PF3D7_1029500	PF3D7_1029500.1	N/A	214.65	2.69	214.65	2.69
PF3D7_1029600	PF3D7_1029600.1	ADA	27.01	16.02	27.01	16.02
PF3D7_1029700	PF3D7_1029700.1	N/A	1.32	0.48	1.32	0.62
PF3D7_1029800	PF3D7_1029800.1	HPR2	10.18	6.17	10.18	6.32
PF3D7_1029900	PF3D7_1029900.1	N/A	1497.1	120.39	1504.33	120.48
PF3D7_1030000	PF3D7_1030000.1	SPT4	94.22	186.26	94.22	186.58
PF3D7_1030100	PF3D7_1030100.1	PRP22	60.58	101.03	60.58	101.03
PF3D7_1030200	PF3D7_1030200.1	CLAMP	71.38	218.02	71.38	218.07
PF3D7_1030300	PF3D7_1030300.1	N/A	47.26	215.49	47.26	215.53
PF3D7_1030400	PF3D7_1030400.1	N/A	11.9	1.91	11.9	1.91
PF3D7_1030500	PF3D7_1030500.1	RPN9	8.72	9.74	8.72	9.74
PF3D7_1030600	PF3D7_1030600.1	KAE1	3.08	9.57	3.08	9.57
PF3D7_1030700	PF3D7_1030700.1	N/A	3.12	12.11	3.12	12.11
PF3D7_1030800	PF3D7_1030800.1	N/A	61.75	50.04	61.75	50.04
PF3D7_1030900	PF3D7_1030900.1	P28	93.78	1196.38	93.78	1196.38
PF3D7_1031000	PF3D7_1031000.1	P25	1012.08	29223.5	1012.08	29223.5
PF3D7_1031100	PF3D7_1031100.1	N/A	0.63	0.47	0.63	0.47
PF3D7_1031200	PF3D7_1031200.1	MORN1	24.79	621.9	24.88	622.04
PF3D7_1031300	PF3D7_1031300.1	N/A	26.17	20.23	26.22	20.27
PF3D7_1031400	PF3D7_1031400.1	OTU	215.9	34.24	216.57	34.38
PF3D7_1031400	PF3D7_1031400.2	OTU	215.9	34.24	216.57	34.38
PF3D7_1031500	PF3D7_1031500.1	DDX3X	87.61	150.99	87.61	151.59
PF3D7_1031600	PF3D7_1031600.1	GEXP15	59.41	58.76	62.25	60.53
PF3D7_1031700	PF3D7_1031700.1	I3	89.79	73.5	89.96	74.57
PF3D7_1031800	PF3D7_1031800.1	N/A	12.19	40.8	12.19	40.89
PF3D7_1031900	PF3D7_1031900.1	N/A	65.21	20.15	65.21	20.42
PF3D7_1032000	PF3D7_1032000.1	RimM	113.17	466.49	113.17	466.7
PF3D7_1032100	PF3D7_1032100.1	DCP1	85.11	39.8	85.11	39.8
PF3D7_1032200	PF3D7_1032200.1	N/A	35.93	656.35	35.93	659.64
PF3D7_1032300	PF3D7_1032300.1	N/A	5.12	74.07	5.12	74.07
PF3D7_1032400	PF3D7_1032400.1	PIGA	14.93	16.19	14.93	16.19
PF3D7_1032500	PF3D7_1032500.1	Der1-2	60.31	62.55	60.31	62.55
PF3D7_1032600	PF3D7_1032600.1	N/A	5.21	33.08	5.21	33.08
PF3D7_1032700	PF3D7_1032700.1	N/A	186.51	49.94	192.87	50.59
PF3D7_1032800	PF3D7_1032800.1	LRR1	11.04	10.29	11.04	10.29
PF3D7_1032900	PF3D7_1032900.1	N/A	11.92	9.33	11.92	9.33
PF3D7_1033000	PF3D7_1033000.1	HPR1	48.25	44.25	48.25	45.59
PF3D7_1033100	PF3D7_1033100.1	AdoMetDC/ODC	110.74	299.82	111.09	300.83
PF3D7_1033200	PF3D7_1033200.1	ETRAMP10.2	4.22	3.51	4.22	3.51
PF3D7_1033300	PF3D7_1033300.1	N/A	23.94	2.81	23.94	2.81
PF3D7_1033400	PF3D7_1033400.1	HAD1	48.91	6.06	48.91	6.06
PF3D7_1033500	PF3D7_1033500.1	WDR70	30.97	101.63	30.97	101.63
PF3D7_1033600	PF3D7_1033600.1	CEF1	176.84	91.41	176.84	91.41
PF3D7_1033700	PF3D7_1033700.1	BDP1	62.3	100.83	62.3	100.83
PF3D7_1033800	PF3D7_1033800.1	N/A	29.94	1302.81	29.94	1308.37
PF3D7_1033900	PF3D7_1033900.1	N/A	1308.48	311.83	1311.3	312.13
PF3D7_1034000	PF3D7_1034000.1	SLY1	31.22	46.94	31.22	46.94
PF3D7_1034100	PF3D7_1034100.1	N/A	25.49	73.04	25.49	73.04
PF3D7_1034200	PF3D7_1034200.1	RPL27	36.03	502.1	36.03	502.1
PF3D7_1034300	PF3D7_1034300.1	TLAP2	4.12	150.54	4.12	150.54
PF3D7_1034400	PF3D7_1034400.1	SDHA	17.82	45.42	17.82	45.42
PF3D7_1034500	PF3D7_1034500.1	N/A	27.19	15.73	27.19	15.73
PF3D7_1034600	PF3D7_1034600.1	IF3b	45.37	29.04	45.37	29.04
PF3D7_1034700	PF3D7_1034700.1	N/A	8.83	74.71	8.83	74.71
PF3D7_1034800	PF3D7_1034800.1	N/A	127.11	21.66	128.4	21.88
PF3D7_1034900	PF3D7_1034900.1	MRScyt	18.29	65.71	18.29	65.71
PF3D7_1035000	PF3D7_1035000.1	N/A	39.89	21.36	39.89	21.36
PF3D7_1035100	PF3D7_1035100.1	N/A	52.41	65.27	52.41	65.27
PF3D7_1035200	PF3D7_1035200.1	N/A	20.01	6.42	42.08	19.9
PF3D7_1035300	PF3D7_1035300.1	GLURP	6.28	1.23	7.27	1.26
PF3D7_1035400	PF3D7_1035400.1	MSP3	1.46	11.47	1.46	11.47
PF3D7_1035500	PF3D7_1035500.1	MSP6	2.41	0.27	2.41	0.27
PF3D7_1035600	PF3D7_1035600.1	H101	0.68	0.84	0.68	0.84
PF3D7_1035700	PF3D7_1035700.1	DBLMSP	8.07	0.47	8.07	0.47
PF3D7_1035800	PF3D7_1035800.1	M712	0.45	0.04	0.45	0.04
PF3D7_1035900	PF3D7_1035900.1	MAAP	5.02	0.56	6.07	0.56
PF3D7_1036000	PF3D7_1036000.1	MSP11	2.42	0.39	2.42	0.39
PF3D7_1036300	PF3D7_1036300.1	DBLMSP2	0.9	0.07	0.9	0.07
PF3D7_1036400	PF3D7_1036400.1	LSA1	0.19	0.05	0.25	0.05
PF3D7_1036500	PF3D7_1036500.1	N/A	11.03	0.15	11.03	0.15
PF3D7_1036600	PF3D7_1036600.1	N/A	198.98	81.39	200.55	81.39
PF3D7_1036700	PF3D7_1036700.1	PhLP2	232.1	119.48	234.09	119.81
PF3D7_1036800	PF3D7_1036800.1	AT1	50.46	11.86	50.46	11.86
PF3D7_1036900	PF3D7_1036900.1	N/A	313.27	168.45	313.27	168.45
PF3D7_1037000	PF3D7_1037000.1	REV3	26.67	19.36	26.67	20.03
PF3D7_1037100	PF3D7_1037100.1	PyKII	21.01	21.14	21.01	21.14
PF3D7_1037200	PF3D7_1037200.1	N/A	15.87	48.32	15.87	48.32
PF3D7_1037300	PF3D7_1037300.1	AAC1	23.99	56.6	23.99	56.6
PF3D7_1037400	PF3D7_1037400.1	N/A	11.86	5.79	11.86	5.79
PF3D7_1037500	PF3D7_1037500.1	DYN2	11.47	19.22	11.47	19.22
PF3D7_1037600	PF3D7_1037600.1	XPB	77.09	257.49	77.09	257.49
PF3D7_1037700	PF3D7_1037700.1	ERH	5.09	4.92	5.09	4.92
PF3D7_1037800	PF3D7_1037800.1	N/A	154.97	5.03	154.97	5.03
PF3D7_1037900	PF3D7_1037900.1	N/A	20.49	3.55	20.49	3.55
PF3D7_1038000	PF3D7_1038000.1	N/A	111.97	74.85	111.97	75.1
PF3D7_1038000	PF3D7_1038000.2	N/A	111.97	74.85	111.97	75.1
PF3D7_1038100	PF3D7_1038100.1	N/A	20.35	16.58	20.35	16.58
PF3D7_1038200	PF3D7_1038200.1	N/A	25.13	21.17	25.13	21.17
PF3D7_1038300	PF3D7_1038300.1	N/A	255.02	20.36	256.01	20.36
PF3D7_1038400	PF3D7_1038400.1	Pf11-1	564.11	275.59	741.7	363.18
PF3D7_1038500	PF3D7_1038500.1	N/A	3.23	0.97	3.23	0.97
PF3D7_1038600	PF3D7_1038600.1	N/A	5.55	0.39	5.55	0.39
PF3D7_1038700	PF3D7_1038700.1	N/A	47.77	1.41	47.83	1.41
PF3D7_1038800	PF3D7_1038800.1	N/A	14.59	1.18	14.59	1.18
PF3D7_1038900	PF3D7_1038900.1	N/A	22.07	12.96	22.07	12.96
PF3D7_1039000	PF3D7_1039000.1	FIKK10.2	0.97	0.11	1.61	0.49
PF3D7_1039100	PF3D7_1039100.1	N/A	0	0	0.26	0.56
PF3D7_1039200	PF3D7_1039200.1	N/A	0	0	2.85	2.83
PF3D7_1039400	PF3D7_1039400.1	N/A	0	0	0	0.12
PF3D7_1039600	PF3D7_1039600.1	EPF1	0	0	2.64	6.38
PF3D7_1039700	PF3D7_1039700.1	MC-2TM	0	0	0	0.23
PF3D7_1039800	PF3D7_1039800.1	EPF3	0	0	0.77	0
PF3D7_1039900	PF3D7_1039900.1	EPF4	0	0	0	0.17
PF3D7_1040000	PF3D7_1040000.1	RIF	0.2	0	0.2	0.15
PF3D7_1040100	PF3D7_1040100.1	RIF	0	0	0.24	0
PF3D7_1040200	PF3D7_1040200.1	N/A	0.35	0	0.35	0
PF3D7_1040300	PF3D7_1040300.1	RIF	0.48	0	0.48	0
PF3D7_1040400	PF3D7_1040400.1	RIF	0.21	0	0.42	0
PF3D7_1040500	PF3D7_1040500.1	RIF	0	0	0.21	0
PF3D7_1040600	PF3D7_1040600.1	RIF	0.22	0	0.22	0.16
PF3D7_1040700	PF3D7_1040700.1	RIF	0	0.29	0	0.29
PF3D7_1040800	PF3D7_1040800.1	RIF	0	0.18	0.36	0.18
PF3D7_1040900	PF3D7_1040900.1	RIF	0	0	0.23	0
PF3D7_1041000	PF3D7_1041000.1	RIF	0	0	0	0
PF3D7_1041100	PF3D7_1041100.1	RIF	0.21	0	0.21	0
PF3D7_1041200	PF3D7_1041200.1	RIF	0.2	0	0.39	0
PF3D7_1041300	PF3D7_1041300.1	VAR	6.06	0.66	8.59	2.41
PF3D7_1100100	PF3D7_1100100.1	VAR	0.28	0.12	2.58	2.05
PF3D7_1100200	PF3D7_1100200.1	VAR	0.28	0.05	0.34	0.11
PF3D7_1100300	PF3D7_1100300.1	RIF	0.1	0.16	0.1	0.16
PF3D7_1100400	PF3D7_1100400.1	RIF	0.11	0	0.11	0
PF3D7_1100500	PF3D7_1100500.1	RIF	0.11	0	0.11	0
PF3D7_1100600	PF3D7_1100600.1	N/A	0	0	0.26	0
PF3D7_1100700	PF3D7_1100700.1	N/A	0.25	0	0.25	0
PF3D7_1100800	PF3D7_1100800.1	MC-2TM	0.63	0	0.63	0
PF3D7_1100900	PF3D7_1100900.1	EPF1	1.04	0	1.54	0.38
PF3D7_1101000	PF3D7_1101000.1	N/A	0	0	4.79	12.74
PF3D7_1101100	PF3D7_1101100.1	RIF	0.21	0	0.21	0
PF3D7_1101200	PF3D7_1101200.1	RIF	0.3	0	0.3	0
PF3D7_1101300	PF3D7_1101300.1	RIF	0.22	0	0.22	0
PF3D7_1101400	PF3D7_1101400.1	RIF	0	0	0.61	0.15
PF3D7_1101500	PF3D7_1101500.1	EPF4	0	0	0.23	0.17
PF3D7_1101600	PF3D7_1101600.1	EPF3	0	0	0.62	0.23
PF3D7_1101700	PF3D7_1101700.1	MC-2TM	0	0	0.47	0
PF3D7_1101800	PF3D7_1101800.1	EPF1	0.25	0	23.95	9.43
PF3D7_1101900	PF3D7_1101900.1	N/A	0	0	0.51	0
PF3D7_1102100	PF3D7_1102100.1	N/A	0	0.35	2.58	2.12
PF3D7_1102200	PF3D7_1102200.1	ECIJP	0.31	0	0.44	0.66
PF3D7_1102300	PF3D7_1102300.1	N/A	878.73	245.22	929.53	257.69
PF3D7_1102400	PF3D7_1102400.1	PPCS	14.88	105.37	14.88	105.37
PF3D7_1102500	PF3D7_1102500.1	GEXP02	24.71	2.11	24.71	2.11
PF3D7_1102600	PF3D7_1102600.1	GEXP14	0.3	0.11	0.3	0.11
PF3D7_1102700	PF3D7_1102700.1	ETRAMP11.1	1.19	0	1.19	0
PF3D7_1102800	PF3D7_1102800.1	ETRAMP11.2	1.7	0.85	1.7	0.85
PF3D7_1102900	PF3D7_1102900.1	N/A	0.12	0	0.12	0
PF3D7_1103000	PF3D7_1103000.1	N/A	0	0	0	0
PF3D7_1103100	PF3D7_1103100.1	RPP1	273.89	1049.36	273.89	1049.36
PF3D7_1103200	PF3D7_1103200.1	N/A	9.03	0	9.03	0
PF3D7_1103300	PF3D7_1103300.1	N/A	0	0	0	0
PF3D7_1103400	PF3D7_1103400.1	SufD	7.24	15.51	7.3	18.1
PF3D7_1103500	PF3D7_1103500.1	N/A	232.81	1918.38	233.73	1949.72
PF3D7_1103600	PF3D7_1103600.1	ALP2a	15.88	3.26	15.88	3.26
PF3D7_1103700	PF3D7_1103700.1	CK2beta1	12.28	21.31	12.28	21.31
PF3D7_1103800	PF3D7_1103800.1	NOT1-G	380.35	147.15	380.53	147.24
PF3D7_1103900	PF3D7_1103900.1	N/A	42.21	14.78	42.21	14.78
PF3D7_1104000	PF3D7_1104000.1	N/A	2.36	5.74	2.36	5.74
PF3D7_1104100	PF3D7_1104100.1	SYN13	25.75	13.67	25.75	13.67
PF3D7_1104200	PF3D7_1104200.1	SNF2L	22.56	21.17	22.56	21.17
PF3D7_1104300	PF3D7_1104300.1	N/A	165.69	289.98	165.69	289.98
PF3D7_1104400	PF3D7_1104400.1	Trx-mero	43.99	51.29	43.99	51.29
PF3D7_1104500	PF3D7_1104500.1	N/A	366.82	26.39	366.82	26.39
PF3D7_1104600	PF3D7_1104600.1	N/A	266.68	122.47	266.68	122.47
PF3D7_1104700	PF3D7_1104700.1	RPC25	314.12	162.45	334.15	168.59
PF3D7_1104700	PF3D7_1104700.2	RPC25	314.12	162.45	334.15	168.59
PF3D7_1104800	PF3D7_1104800.1	N/A	26.43	12.35	26.43	12.35
PF3D7_1104900	PF3D7_1104900.1	N/A	91.26	51.05	92.5	51.88
PF3D7_1105000	PF3D7_1105000.1	H4	532.3	421.54	532.3	421.54
PF3D7_1105100	PF3D7_1105100.1	H2B	3802.21	854.97	3802.97	854.97
PF3D7_1105200	PF3D7_1105200.1	WDR8	111.87	7.59	111.87	7.59
PF3D7_1105300	PF3D7_1105300.1	N/A	17.01	4.28	17.01	4.28
